car_id,car_name,brand,model,variant,price_ex_showroom_lakh,price_on_road_lakh,min_price_lakh,max_price_lakh,battery_capacity_kwh,claimed_range_km,real_world_range_km,charging_time_ac_hours,charging_time_dc_minutes,fast_charging_available,motor_power_kw,torque_nm,top_speed_kmph,acceleration_0_100_sec,body_type,segment,seating_capacity,boot_space_litres,ground_clearance_mm,safety_rating,airbags,transmission,drive_type,warranty_years,battery_warranty_years,battery_warranty_km,home_charging_supported,pros,cons,source_url,last_updated,status,price_text,range_text,battery_text,charging_text,useful_features,variants_count,image_url,image_source_url,data_source,data_collected_date,notes,sales_latest_month,sales_previous_month,sales_3_months_ago,sales_data_month,sales_source
hyundai_creta_electric,Hyundai Creta Electric,Hyundai,Creta Electric,Model range,14.53,14.53,14.53,24.7,51.4,510.0,420.0,4.83,45.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,,https://www.carwale.com/hyundai-cars/creta-electric/,2026-07-13,On sale / listed by CarWale,Rs. 14.53 - 24.70 Lakh,420 to 510 km,42 to 51.4 kWh,"Charging Time (AC Fast Charger) 10-100 % : 4 hrs 50 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs, 11",ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,24.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/167017/creta-electric-exterior-right-front-three-quarter-15.png?isig=0&q=80,https://www.carwale.com/hyundai-cars/creta-electric/,CarWale listing and model page,2026-07-11,,295.0,519.0,600.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xuv400,Mahindra XUV400,Mahindra,XUV400,Model range,15.49,15.49,15.49,17.69,39.4,456.0,375.0,6.5,52.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps; Airbags,,https://www.carwale.com/mahindra-cars/xuv400/,2026-07-13,On sale / listed by CarWale,Rs. 15.49 - 17.69 Lakh,375 to 456 km,34.5 to 39.4 kWh,"Charging Time (AC Fast Charger) 0-100 % : 6 hrs 30 / Charging Time (DC Fast Charger) 0-80 % : 50 mins, 50",ADAS; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps; Airbags,5.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/45278/xuv400-exterior-right-front-three-quarter-8.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xuv400/,CarWale listing and model page,2026-07-11,,129.0,66.0,117.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mg_zs_ev,MG ZS EV,MG,ZS EV,Model range,15.5,15.5,15.5,18.14,50.3,461.0,461.0,6.99,120.0,False,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,,https://www.carwale.com/mg-cars/zs-ev/,2026-07-13,On sale / listed by CarWale,Rs. 15.50 - 18.14 Lakh,461 km,50.3 kWh,,ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,7.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/110437/zs-ev-exterior-right-front-three-quarter-70.png?isig=0&q=80,https://www.carwale.com/mg-cars/zs-ev/,CarWale listing and model page,2026-07-11,,1562.0,717.0,411.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_curvv_ev,Tata Curvv EV,Tata,Curvv EV,Model range,16.99,16.99,16.99,19.49,55.0,502.0,502.0,7.9,45.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof; Voice Command,,https://www.carwale.com/tata-cars/curvv-ev/,2026-07-13,On sale / listed by CarWale,Rs. 16.99 - 19.49 Lakh,502 km,55 kWh,"Charging Time (AC Fast Charger) 10-100 % : 7 hrs 54 / Charging Time (DC Fast Charger) 10-80 % : 40 mins, 70",ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof; Voice Command,3.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/115617/curvv-ev-exterior-right-front-three-quarter-8.png?isig=0&q=80,https://www.carwale.com/tata-cars/curvv-ev/,CarWale listing and model page,2026-07-11,,1288.0,882.0,1201.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
vinfast_vf_6,VinFast VF 6,VinFast,VF 6,Model range,17.29,17.29,17.29,19.19,59.6,468.0,463.0,8.28,45.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Panoramic Sunroof; Cruise Control; Automatic Headlamps,,https://www.carwale.com/vinfast-cars/vf-6/,2026-07-13,On sale / listed by CarWale,Rs. 17.29 - 19.19 Lakh,463 to 468 km,59.6 kWh,"Charging Time (DC Fast Charger) 10-70 % : 25 mins, 100",ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Panoramic Sunroof; Cruise Control; Automatic Headlamps,3.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/171545/vf-6-exterior-right-front-three-quarter-32.png?isig=0&q=80,https://www.carwale.com/vinfast-cars/vf-6/,CarWale listing and model page,2026-07-11,,532.0,401.0,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
kia_carens_clavis_ev,Kia Carens Clavis EV,Kia,Carens Clavis EV,Model range,18.0,18.0,18.0,25.0,51.4,490.0,404.0,4.75,45.0,True,105.0,257.0,132.0,11.6,MUV/MPV,Family MPV,6.0,450.0,180.0,3.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,,https://www.carwale.com/kia-cars/carens-clavis-ev/,2026-07-13,On sale / listed by CarWale,Rs. 18.00 - 25.00 Lakh,404 to 490 km,42 to 51.4 kWh,"Charging Time (AC Fast Charger) 10-100 % : 4 hrs 45 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs, 11",ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,17.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/174553/carens-clavis-ev-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/kia-cars/carens-clavis-ev/,CarWale listing and model page,2026-07-11,,569.0,279.0,81.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_sierra_ev,Tata Sierra EV,Tata,Sierra EV,Model range,18.79,18.79,18.79,26.49,75.0,665.0,535.0,10.5,36.0,True,110.0,270.0,134.0,11.4,Compact SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,,https://www.carwale.com/tata-cars/sierra-ev/,2026-07-13,On sale / listed by CarWale,Rs. 18.79 - 26.49 Lakh,535 to 665 km,63 to 75 kWh,Charging Time (AC Fast Charger) 10-100 % : 10 hrs 30 / Charging Time (AC Fast Charger) 10-100 % : 8 hrs 54,ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,17.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/139467/sierra-ev-exterior-right-front-three-quarter-16.webp?isig=0&q=80,https://www.carwale.com/tata-cars/sierra-ev/,CarWale listing and model page,2026-07-11,,,,,,
mahindra_be_6,Mahindra BE 6,Mahindra,BE 6,Model range,18.9,18.9,18.9,28.49,79.0,683.0,557.0,6.0,36.0,True,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,,https://www.carwale.com/mahindra-cars/be-6/,2026-07-13,On sale / listed by CarWale,Rs. 18.90 - 28.49 Lakh,557 to 683 km,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 6 hrs / Charging Time (AC Fast Charger) 0-100 % : 8 hrs,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,19.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/131825/be-6-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/be-6/,CarWale listing and model page,2026-07-11,,902.0,1170.0,1495.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xev_9s,Mahindra XEV 9S,Mahindra,XEV 9S,Model range,20.65,20.65,20.65,30.7,79.0,679.0,530.0,8.0,36.0,True,120.0,294.0,137.0,11.0,SUV,SUV,7.0,300.0,190.0,3.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,Required app fields completed from model/spec references.,https://www.carwale.com/mahindra-cars/xev-9s/,2026-07-13,On sale / listed by CarWale,Rs. 20.65 - 30.70 Lakh,521 to 679 km,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 8 hrs / Charging Time (AC Fast Charger) 0-100 % : 6 hrs,ADAS; Blind Spot Detection; High-beam Assist; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,12.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/212003/xev9s-exterior-right-front-three-quarter-11.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xev-9s/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.,3502.0,3242.0,3254.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_harrier_ev,Tata Harrier EV,Tata,Harrier EV,Model range,21.69,21.69,21.69,30.43,75.0,627.0,538.0,9.3,36.0,True,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; 360 Degree Camera; Hill Hold Control; Traction Control; TPMS; Wireless Charger,,https://www.carwale.com/tata-cars/harrier-ev/,2026-07-13,On sale / listed by CarWale,Rs. 21.69 - 30.43 Lakh,538 to 627 km,65 to 75 kWh,Charging Time (AC Fast Charger) 10-100 % : 9 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 10 hrs 42,ADAS; Blind Spot Detection; High-beam Assist; 360 Degree Camera; Hill Hold Control; Traction Control; TPMS; Wireless Charger,18.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/139585/harrier-ev-exterior-right-front-three-quarter-58.png?isig=0&q=80,https://www.carwale.com/tata-cars/harrier-ev/,CarWale listing and model page,2026-07-11,,1833.0,1690.0,1597.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
vinfast_vf_7,VinFast VF 7,VinFast,VF 7,Model range,21.89,21.89,21.89,26.79,70.0,532.0,438.0,9.72,36.0,True,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,,https://www.carwale.com/vinfast-cars/vf-7/,2026-07-13,On sale / listed by CarWale,Rs. 21.89 - 26.79 Lakh,438 to 532 km,59.6 to 70 kWh,"Charging Time (DC Fast Charger) 10-70 % : 24 mins, 100 / Charging Time (DC Fast Charger) 10-70 % : 28 mins, 110",ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,5.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/171787/vf-7-exterior-right-front-three-quarter-13.png?isig=0&q=80,https://www.carwale.com/vinfast-cars/vf-7/,CarWale listing and model page,2026-07-11,,673.0,537.0,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xev_9e,Mahindra XEV 9e,Mahindra,XEV 9e,Model range,21.9,21.9,21.9,31.25,79.0,656.0,542.0,8.0,36.0,True,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats,,https://www.carwale.com/mahindra-cars/xev-9e/,2026-07-13,On sale / listed by CarWale,Rs. 21.90 - 31.25 Lakh,542 to 656 km,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 8 hrs / Charging Time (AC Fast Charger) 0-100 % : 6 hrs,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats,17.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/130595/xev-9e-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xev-9e/,CarWale listing and model page,2026-07-11,,1939.0,1611.0,1759.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
toyota_urban_cruiser_ebella,Toyota Urban Cruiser Ebella,Toyota,Urban Cruiser Ebella,Model range,23.6,23.6,23.6,23.8,61.0,543.0,543.0,8.47,45.0,True,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,3.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Adaptive Cruise Control; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control,,https://www.carwale.com/toyota-cars/urban-cruiser-ebella/,2026-07-13,On sale / listed by CarWale,Rs. 23.60 - 23.80 Lakh,543 km,61 kWh,Charging Time (DC Fast Charger) 10-80 % : 45 mins / 10-80 % : 45 mins,ADAS; Adaptive Cruise Control; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control,2.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/191295/urban-cruiser-ebella-exterior-right-front-three-quarter-14.png?isig=0&q=80,https://www.carwale.com/toyota-cars/urban-cruiser-ebella/,CarWale listing and model page,2026-07-11,,45.0,0.0,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_be_6_fe,Mahindra BE 6 FE,Mahindra,BE 6 FE,Model range,23.69,23.69,23.69,24.49,79.0,653.0,653.0,10.97,120.0,False,120.0,294.0,137.0,11.0,SUV,SUV,5.0,380.0,190.0,3.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,TPMS; Wireless Charger; Cruise Control; Automatic Headlamps; Airbags,,https://www.carwale.com/mahindra-cars/be-6-fe/,2026-07-13,On sale / listed by CarWale,Rs. 23.69 - 24.49 Lakh,653 km,79 kWh,,TPMS; Wireless Charger; Cruise Control; Automatic Headlamps; Airbags,2.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/216225/fe-exterior-right-front-three-quarter.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/be-6-fe/,CarWale listing and model page,2026-07-11,,,,,,
