Brand,Model,Status,Price_Lakh_Min,Price_Lakh_Max,Price_Text,Range_km,Range_km_Min,Range_km_Max,Range_Text,Battery_capacity_kWh,Battery_capacity_kWh_Min,Battery_capacity_kWh_Max,Battery_Text,Charging_time,Body_Type,Fast_Charging,Seats,Safety_Rating,Useful_Features,Variants_Count,Image_URL,Image_Source_URL,Source_URL,Data_Source,Data_Collected_Date,Notes
Hyundai,Creta Electric,On sale / listed by CarWale,14.53,24.7,Rs. 14.53 - 24.70 Lakh,510,420,510,420 to 510 km,51.4,42,51.4,42 to 51.4 kWh,"Charging Time (AC Fast Charger) 10-100 % : 4 hrs 50 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs, 11",SUV,Yes,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,24,https://imgd.aeplcdn.com/664x374/n/cw/ec/167017/creta-electric-exterior-right-front-three-quarter-15.png?isig=0&q=80,https://www.carwale.com/hyundai-cars/creta-electric/,https://www.carwale.com/hyundai-cars/creta-electric/,CarWale listing and model page,2026-07-11,
Mahindra,XUV400,On sale / listed by CarWale,15.49,17.69,Rs. 15.49 - 17.69 Lakh,456,375,456,375 to 456 km,39.4,34.5,39.4,34.5 to 39.4 kWh,"Charging Time (AC Fast Charger) 0-100 % : 6 hrs 30 / Charging Time (DC Fast Charger) 0-80 % : 50 mins, 50",SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps; Airbags,5,https://imgd.aeplcdn.com/664x374/n/cw/ec/45278/xuv400-exterior-right-front-three-quarter-8.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xuv400/,https://www.carwale.com/mahindra-cars/xuv400/,CarWale listing and model page,2026-07-11,
MG,ZS EV,On sale / listed by CarWale,15.5,18.14,Rs. 15.50 - 18.14 Lakh,461,461,461,461 km,50.3,50.3,50.3,50.3 kWh,,SUV,Unknown,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,7,https://imgd.aeplcdn.com/664x374/n/cw/ec/110437/zs-ev-exterior-right-front-three-quarter-70.png?isig=0&q=80,https://www.carwale.com/mg-cars/zs-ev/,https://www.carwale.com/mg-cars/zs-ev/,CarWale listing and model page,2026-07-11,
Tata,Curvv EV,On sale / listed by CarWale,16.99,19.49,Rs. 16.99 - 19.49 Lakh,502,502,502,502 km,55,55,55,55 kWh,"Charging Time (AC Fast Charger) 10-100 % : 7 hrs 54 / Charging Time (DC Fast Charger) 10-80 % : 40 mins, 70",SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof; Voice Command,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/115617/curvv-ev-exterior-right-front-three-quarter-8.png?isig=0&q=80,https://www.carwale.com/tata-cars/curvv-ev/,https://www.carwale.com/tata-cars/curvv-ev/,CarWale listing and model page,2026-07-11,
VinFast,VF 6,On sale / listed by CarWale,17.29,19.19,Rs. 17.29 - 19.19 Lakh,468,463,468,463 to 468 km,59.6,59.6,59.6,59.6 kWh,"Charging Time (DC Fast Charger) 10-70 % : 25 mins, 100",SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Panoramic Sunroof; Cruise Control; Automatic Headlamps,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/171545/vf-6-exterior-right-front-three-quarter-32.png?isig=0&q=80,https://www.carwale.com/vinfast-cars/vf-6/,https://www.carwale.com/vinfast-cars/vf-6/,CarWale listing and model page,2026-07-11,
Kia,Carens Clavis EV,On sale / listed by CarWale,18,25,Rs. 18.00 - 25.00 Lakh,490,404,490,404 to 490 km,51.4,42,51.4,42 to 51.4 kWh,"Charging Time (AC Fast Charger) 10-100 % : 4 hrs 45 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs, 11",MUV/MPV,Yes,6,,ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,17,https://imgd.aeplcdn.com/664x374/n/cw/ec/174553/carens-clavis-ev-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/kia-cars/carens-clavis-ev/,https://www.carwale.com/kia-cars/carens-clavis-ev/,CarWale listing and model page,2026-07-11,
Tata,Sierra EV,On sale / listed by CarWale,18.79,26.49,Rs. 18.79 - 26.49 Lakh,665,535,665,535 to 665 km,75,63,75,63 to 75 kWh,Charging Time (AC Fast Charger) 10-100 % : 10 hrs 30 / Charging Time (AC Fast Charger) 10-100 % : 8 hrs 54,Compact SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,17,https://imgd.aeplcdn.com/664x374/n/cw/ec/139467/sierra-ev-exterior-right-front-three-quarter-16.webp?isig=0&q=80,https://www.carwale.com/tata-cars/sierra-ev/,https://www.carwale.com/tata-cars/sierra-ev/,CarWale listing and model page,2026-07-11,
Mahindra,BE 6,On sale / listed by CarWale,18.9,28.49,Rs. 18.90 - 28.49 Lakh,683,557,683,557 to 683 km,79,59,79,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 6 hrs / Charging Time (AC Fast Charger) 0-100 % : 8 hrs,SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,19,https://imgd.aeplcdn.com/664x374/n/cw/ec/131825/be-6-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/be-6/,https://www.carwale.com/mahindra-cars/be-6/,CarWale listing and model page,2026-07-11,
Mahindra,XEV 9S,On sale / listed by CarWale,20.65,30.7,Rs. 20.65 - 30.70 Lakh,679,521,679,521 to 679 km,79,59,79,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 8 hrs / Charging Time (AC Fast Charger) 0-100 % : 6 hrs,SUV,Yes,7,,ADAS; Blind Spot Detection; High-beam Assist; Traction Control; TPMS; Wireless Charger; Ventilated Seats; Panoramic Sunroof,12,https://imgd.aeplcdn.com/664x374/n/cw/ec/212003/xev9s-exterior-right-front-three-quarter-11.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xev-9s/,https://www.carwale.com/mahindra-cars/xev-9s/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Tata,Harrier EV,On sale / listed by CarWale,21.69,30.43,Rs. 21.69 - 30.43 Lakh,627,538,627,538 to 627 km,75,65,75,65 to 75 kWh,Charging Time (AC Fast Charger) 10-100 % : 9 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 10 hrs 42,SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; High-beam Assist; 360 Degree Camera; Hill Hold Control; Traction Control; TPMS; Wireless Charger,18,https://imgd.aeplcdn.com/664x374/n/cw/ec/139585/harrier-ev-exterior-right-front-three-quarter-58.png?isig=0&q=80,https://www.carwale.com/tata-cars/harrier-ev/,https://www.carwale.com/tata-cars/harrier-ev/,CarWale listing and model page,2026-07-11,
VinFast,VF 7,On sale / listed by CarWale,21.89,26.79,Rs. 21.89 - 26.79 Lakh,532,438,532,438 to 532 km,70,59.6,70,59.6 to 70 kWh,"Charging Time (DC Fast Charger) 10-70 % : 24 mins, 100 / Charging Time (DC Fast Charger) 10-70 % : 28 mins, 110",SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,5,https://imgd.aeplcdn.com/664x374/n/cw/ec/171787/vf-7-exterior-right-front-three-quarter-13.png?isig=0&q=80,https://www.carwale.com/vinfast-cars/vf-7/,https://www.carwale.com/vinfast-cars/vf-7/,CarWale listing and model page,2026-07-11,
Mahindra,XEV 9e,On sale / listed by CarWale,21.9,31.25,Rs. 21.90 - 31.25 Lakh,656,542,656,542 to 656 km,79,59,79,59 to 79 kWh,Charging Time (AC Fast Charger) 0-100 % : 8 hrs / Charging Time (AC Fast Charger) 0-100 % : 6 hrs,SUV,Yes,5,5 Star (Bharat NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats,17,https://imgd.aeplcdn.com/664x374/n/cw/ec/130595/xev-9e-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xev-9e/,https://www.carwale.com/mahindra-cars/xev-9e/,CarWale listing and model page,2026-07-11,
Toyota,Urban Cruiser Ebella,On sale / listed by CarWale,23.6,23.8,Rs. 23.60 - 23.80 Lakh,543,543,543,543 km,61,61,61,61 kWh,Charging Time (DC Fast Charger) 10-80 % : 45 mins / 10-80 % : 45 mins,SUV,Yes,5,,ADAS; Adaptive Cruise Control; High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/191295/urban-cruiser-ebella-exterior-right-front-three-quarter-14.png?isig=0&q=80,https://www.carwale.com/toyota-cars/urban-cruiser-ebella/,https://www.carwale.com/toyota-cars/urban-cruiser-ebella/,CarWale listing and model page,2026-07-11,
Mahindra,BE 6 FE,On sale / listed by CarWale,23.69,24.49,Rs. 23.69 - 24.49 Lakh,653,653,653,653 km,79,79,79,79 kWh,,SUV,Unknown,5,,TPMS; Wireless Charger; Cruise Control; Automatic Headlamps; Airbags,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/216225/fe-exterior-right-front-three-quarter.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/be-6-fe/,https://www.carwale.com/mahindra-cars/be-6-fe/,CarWale listing and model page,2026-07-11,
VinFast,VF MPV 7,On sale / listed by CarWale,24.49,24.49,Rs. 24.49 Lakh,517,517,517,517 km,60.13,60.13,60.13,60.13 kWh,Charging Time (AC Fast Charger) 10-70 % : 30 mins,MUV/MPV,Yes,7,,Hill Hold Control; Traction Control; TPMS; Cruise Control; Automatic Headlamps; Airbags,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/213681/vf-mpv-7-exterior-right-front-three-quarter-32.png?isig=0&q=80,https://www.carwale.com/vinfast-cars/vf-mpv-7/,https://www.carwale.com/vinfast-cars/vf-mpv-7/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BYD,Atto 3,On sale / listed by CarWale,24.99,34.49,Rs. 24.99 - 34.49 Lakh,521,468,521,468 to 521 km,60.48,49.92,60.48,49.92 to 60.48 kWh,0-80 per cent in just 50 min,SUV,Yes,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Ventilated Seats,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/130183/atto-3-exterior-right-front-three-quarter-105.png?isig=0&q=80,https://www.carwale.com/byd-cars/atto-3/,https://www.carwale.com/byd-cars/atto-3/,CarWale listing and model page,2026-07-11,
BYD,eMax 7,On sale / listed by CarWale,26.9,29.9,Rs. 26.90 - 29.90 Lakh,530,420,530,420 to 530 km,71.8,55.4,71.8,55.4 to 71.8 kWh,,MUV/MPV,Yes,6,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command,6,https://imgd.aeplcdn.com/664x374/n/cw/ec/185983/emax-7-exterior-right-front-three-quarter-5.png?isig=0&q=80,https://www.carwale.com/byd-cars/emax-7/,https://www.carwale.com/byd-cars/emax-7/,CarWale listing and model page,2026-07-11,
Volvo,EX30,On sale / listed by CarWale,41,41,Rs. 41.00 Lakh,480,480,480,480 km,69,69,69,69 kWh,"Charging Time (DC Fast Charger) 10-80 % : 28 mins, 175 / 10-80 % : 28 mins",SUV,Yes,5,,ADAS; Adaptive Cruise Control; Hill Hold Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/173187/ex30-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/volvo-cars/ex30/,https://www.carwale.com/volvo-cars/ex30/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BYD,Seal,On sale / listed by CarWale,41.5,53.65,Rs. 41.50 - 53.65 Lakh,650,510,650,510 to 650 km,82.56,61.44,82.56,61.44 to 82.56 kWh,10-80 per cent in just 37 min,Sedan,Unknown,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/139619/seal-exterior-right-front-three-quarter-10.png?isig=0&q=80,https://www.carwale.com/byd-cars/seal/,https://www.carwale.com/byd-cars/seal/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BYD,Sealion 7,On sale / listed by CarWale,49.4,55.9,Rs. 49.40 - 55.90 Lakh,567,542,567,542 to 567 km,82.56,82.56,82.56,82.56 kWh,,SUV,Yes,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; Wireless Charger; Ventilated Seats; Panoramic Sunroof,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/195195/sealion-7-exterior-right-front-three-quarter-28.png?isig=0&q=80,https://www.carwale.com/byd-cars/sealion-7/,https://www.carwale.com/byd-cars/sealion-7/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Tesla,Model Y,On sale / listed by CarWale,50.9,61.99,Rs. 50.90 - 61.99 Lakh,681,500,681,500 to 681 km,88,60,88,60 to 88 kWh,,Sedan,Unknown,5,,Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps; AWD; Airbags,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/201411/model-y-exterior-right-front-three-quarter-5.png?isig=0&q=80,https://www.carwale.com/tesla-cars/model-y/,https://www.carwale.com/tesla-cars/model-y/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BMW,iX1 LWB,On sale / listed by CarWale,51.4,51.4,Rs. 51.40 Lakh,531,531,531,531 km,66.4,66.4,66.4,66.4 kWh,"Charging Time (DC Fast Charger) 10-80 % : 30 mins, 130 / 10-80 % : 30 mins",SUV,Yes,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/196035/ix1-lwb-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/bmw-cars/ix1-lwb/,https://www.carwale.com/bmw-cars/ix1-lwb/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mini,Cooper SE,On sale / listed by CarWale,53.5,55,Rs. 53.50 - 55.00 Lakh,270,270,270,270 km,32.6,32.6,32.6,32.6 kWh,DC fast charger that can charge the battery from 0-80 per cent in just 36 min / 0-80 per cent in just 36 min,Hatchback,Yes,4,,Adaptive Cruise Control; Hill Hold Control; Traction Control; TPMS; Ventilated Seats; Panoramic Sunroof; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/108863/cooper-se-exterior-right-front-three-quarter-40.png?isig=0&q=80,https://www.carwale.com/mini-cars/cooper-se/,https://www.carwale.com/mini-cars/cooper-se/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,CLA EV,On sale / listed by CarWale,55,64,Rs. 55.00 - 64.00 Lakh,792,542,792,542 to 792 km,85.5,58,85.5,58 to 85.5 kWh,"Charging Time (AC Fast Charger) 0-100 % : 9 hrs, 11 / Charging Time (AC Fast Charger) 0-100 % : 6 hrs 30",Sedan,Yes,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/216979/cla-exterior-right-front-three-quarter-39.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/cla-ev/,https://www.carwale.com/mercedes-benz-cars/cla-ev/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mini,Countryman Electric,On sale / listed by CarWale,55.65,67.4,Rs. 55.65 - 67.40 Lakh,462,440,462,440 to 462 km,64.6,64.6,64.6,64.6 kWh,"DC fast charger, it can go from 10-80 per cent in just 29 min / 10-80 per cent in just 29 min",Hatchback,Yes,5,5 Star (Euro NCAP),Blind Spot Detection; High-beam Assist; Traction Control; TPMS; Wireless Charger; Cruise Control; Automatic Headlamps; AWD,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/181081/countryman-electric-exterior-right-front-three-quarter-13.png?isig=0&q=80,https://www.carwale.com/mini-cars/countryman-electric/,https://www.carwale.com/mini-cars/countryman-electric/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Hyundai,Ioniq 5,On sale / listed by CarWale,55.7,55.7,Rs. 55.70 Lakh,690,690,690,690 km,84,84,84,84 kWh,Charging Time (AC Fast Charger) 10-100 % : 7 hrs 35 / Charging Time (DC Fast Charger) 10-80 % : 18 mins,SUV,Yes,5,5 Star (Euro NCAP),Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Automatic Headlamps,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/201627/ioniq-5-exterior-right-front-three-quarter-2.jpeg?isig=0&q=80,https://www.carwale.com/hyundai-cars/ioniq-5/,https://www.carwale.com/hyundai-cars/ioniq-5/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Volvo,EC40,On sale / listed by CarWale,59,59,Rs. 59.00 Lakh,530,530,530,530 km,78,78,78,78 kWh,,SUV,Unknown,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/150611/c40-recharge-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80,https://www.carwale.com/volvo-cars/ec40/,https://www.carwale.com/volvo-cars/ec40/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Kia,EV6,On sale / listed by CarWale,65.98,65.98,Rs. 65.98 Lakh,663,663,663,663 km,84,84,84,84 kWh,"Charging Time (DC Fast Charger) 10-80 % : 18 mins, 350 / DC fast charger, allowing the battery to be topped up from 10-80 per cent in 18 min",SUV,Yes,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/186465/ev6-exterior-right-front-three-quarter-3.png?isig=0&q=80,https://www.carwale.com/kia-cars/ev6/,https://www.carwale.com/kia-cars/ev6/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
MG,M9,On sale / listed by CarWale,75.9,75.9,Rs. 75.90 Lakh,548,548,548,548 km,90,90,90,90 kWh,"Charging Time (AC Fast Charger) 0-100 % : 10 hrs, 11 / Charging Time (DC Fast Charger) : 1 hrs 30",MUV/MPV,Yes,7,5 Star (Euro NCAP),ADAS; Blind Spot Detection; High-beam Assist; TPMS; Wireless Charger; Panoramic Sunroof; Automatic Headlamps; Airbags,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/139761/m9-exterior-right-front-three-quarter-3.png?isig=0&q=80,https://www.carwale.com/mg-cars/m9/,https://www.carwale.com/mg-cars/m9/,CarWale listing and model page,2026-07-11,
MG,Cyberster,On sale / listed by CarWale,77.5,77.5,Rs. 77.50 Lakh,580,580,580,580 km,77,77,77,77 kWh,"Charging Time (AC Fast Charger) 0-100 % : 12 hrs 5 / Charging Time (DC Fast Charger) 10-80 % : 40 mins, 144",Convertible,Yes,2,,ADAS; Blind Spot Detection; Wireless Charger; Ventilated Seats; Panoramic Sunroof; Cruise Control; AWD; Airbags,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/193375/cyberster-exterior-right-front-three-quarter-10.png?isig=0&q=80,https://www.carwale.com/mg-cars/cyberster/,https://www.carwale.com/mg-cars/cyberster/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
